product_id,brand,model,model_number,company,product_name,series,processor,graphics_processor,dedicated_graphics,ram_gb,base_clock_ghz,cache,storage_description,storage_gb,storage_type,screen_size_inch,resolution,resolution_width,resolution_height,resolution_pixels,weight_kg,dimensions,length_mm,width_mm,thickness_mm,operating_system,wifi,bluetooth_version,number_of_usb_ports,usb_port_description,usb_2_count,usb_3_count,usb_total_parsed,touch_screen,fingerprint_sensor,internal_mic,pointer_device,battery_cell,colour,mic_in,speakers,multi_card_slot,rj45_lan,hdmi_port,ethernet,price_inr,rating_score,total_ratings,rating_1_pct,rating_2_pct,rating_3_pct,rating_4_pct,rating_5_pct,product_type,id,text,touchpad
LAP_8139173f1449,HP,Pavilion 15-ab205tx,15-ab205tx,hp,"HP Pavilion 15-AB205TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Natural Silver)",Pavilion,Intel Core i5 5th Gen 5200U,AMD Radeon R5 M335,True,4.0,2.2,3MB,1TB,4.0,HDD,15.6,1920x1080 pixels,1920.0,1080.0,2073600.0,2.9,384.50 x 261.10 x 25.20,384.5,261.1,25.2,Windows 10 Home,802.11 ac,4.0,3,"1 x USB 2.0, 2 x USB 3.0",1,2,3.0,False,False,Yes,Touchpad,4.0,Natural Silver,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100 Base T,49790.0,4.18,11.0,9.0,0.0,0.0,45.0,45.0,laptop,LAP_8139173f1449,"Brand: HP. Model: Pavilion 15-ab205tx. Product: HP Pavilion 15-AB205TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Natural Silver). Processor: Intel Core i5 5th Gen 5200U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: AMD Radeon R5 M335. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.9 kg. Price: ₹49790.0. Rating: 4.18 out of 5.",
LAP_ed1077e728b6,HP,Pavilion 15-AU626TX,15-AU626TX,hp,"HP Pavilion 15-AU626TX Laptop (Windows 10, 16GB RAM, 2000GB HDD, Intel Core i5, Natural Silver)",Pavilion,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,True,16.0,2.5,3MB,2TB,16.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.04,383.00 x 243.00 x 22.50,383.0,243.0,22.5,Windows 10,802.11 ac,4.2,3,1 x USB 2.0,1,0,1.0,False,False,Yes,Touchpad,2.0,Silver,Yes,Yes,SD Card Reader,Yes,Standard,10/100 Base T,69980.0,3.6,42.0,21.0,5.0,12.0,17.0,45.0,laptop,LAP_ed1077e728b6,"Brand: HP. Model: Pavilion 15-AU626TX. Product: HP Pavilion 15-AU626TX Laptop (Windows 10, 16GB RAM, 2000GB HDD, Intel Core i5, Natural Silver). Processor: Intel Core i5 7th Gen 7200U. RAM: 16.0 GB. Storage capacity: 16.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 940MX. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.04 kg. Price: ₹69980.0. Rating: 3.6 out of 5.",Yes
LAP_bb898103bea4,Asus,R558UQ-DM539D,R558UQ-DM539D,asus,"Asus R558UQ-DM539D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",R Series,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,True,4.0,2.5,3MB,1TB,4.0,HDD,15.6,1920x1080 pixels,1920.0,1080.0,2073600.0,2.3,382.00 x 256.00 x 25.50,382.0,256.0,25.5,DOS,802.11 ac,4.0,3,"1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",1,2,3.0,False,False,Yes,Touchpad,2.0,Glossy Dark Brown,Yes,Yes,SD Card Reader,Yes,Standard,10/100/1000 Base T,35490.0,3.77,65.0,14.0,6.0,6.0,37.0,37.0,laptop,LAP_bb898103bea4,"Brand: Asus. Model: R558UQ-DM539D. Product: Asus R558UQ-DM539D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch). Processor: Intel Core i5 7th Gen 7200U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 940MX. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.3 kg. Price: ₹35490.0. Rating: 3.77 out of 5.",
LAP_36a42540d409,HP,240 G4,240 G4,hp,"HP 240 G4 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch)",,Intel Core i3 5th Gen 5010U,AMD Radeon R5 M330,True,4.0,2.1,3MB,500GB,4.0,HDD,14.0,1366x768 pixels,1366.0,768.0,1049088.0,1.9,345.40 x 2415.00 x 23.90,345.4,2415.0,23.9,DOS,802.11 b/g/n,4.0,3,"2 x USB 2.0, 1 x USB 3.0",2,1,3.0,False,False,Yes,Touchpad,4.0,Black,,2 Speakers,3 in 1 card Reader,Yes,Standard,10/100/1000 Base T,27500.0,3.36,22.0,23.0,9.0,18.0,9.0,41.0,laptop,LAP_36a42540d409,"Brand: HP. Model: 240 G4. Product: HP 240 G4 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch). Processor: Intel Core i3 5th Gen 5010U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: AMD Radeon R5 M330. Dedicated graphics: Yes. Screen size: 14.0 inches. Weight: 1.9 kg. Price: ₹27500.0. Rating: 3.36 out of 5.",
LAP_8a3a1132dda9,Acer,Aspire E E1-572G,E1-572G,acer,"Acer Aspire E E1-572G Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Aspire E,Intel Core i7 4th Gen 4500U,AMD Radeon 8750M,True,8.0,1.8,4MB,1TB,8.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.4,381.60 x 256.00 x 25.30,381.6,256.0,25.3,Linux,802.11 b/g/n,4.0,3,"2 x USB 2.0, 1 x USB 3.0",2,1,3.0,False,False,Yes,Touchpad,4.0,Black,Yes,Yes,SD Card Reader,Yes,Yes,Gigabit Ethernet,59500.0,2.75,4.0,50.0,0.0,0.0,25.0,25.0,laptop,LAP_8a3a1132dda9,"Brand: Acer. Model: Aspire E E1-572G. Product: Acer Aspire E E1-572G Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch). Processor: Intel Core i7 4th Gen 4500U. RAM: 8.0 GB. Storage capacity: 8.0 GB. Storage type: HDD. Graphics processor: AMD Radeon 8750M. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.4 kg. Price: ₹59500.0. Rating: 2.75 out of 5.",Yes
LAP_413640ba3cbe,Dell,Inspiron 3000 3543,3543,dell,"Dell Inspiron 3000 3543 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Inspiron 3000,Intel Core i5 5th Gen 5200U,Nvidia GeForce 820M,True,4.0,2.2,3MB,1TB,4.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.5,384.00 x 267.00 x 26.60,384.0,267.0,26.6,Windows 10 Home,802.11 b/g/n,4.0,3,"2 x USB 2.0, 1 x USB 3.0",2,1,3.0,True,False,Yes,Touchpad,4.0,Black,Yes,2 Speakers,SD Card Reader,Yes,Yes,10/100 T,28099.0,3.28,7.0,29.0,0.0,29.0,0.0,43.0,laptop,LAP_413640ba3cbe,"Brand: Dell. Model: Inspiron 3000 3543. Product: Dell Inspiron 3000 3543 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch). Processor: Intel Core i5 5th Gen 5200U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 820M. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.5 kg. Price: ₹28099.0. Rating: 3.28 out of 5.",Yes
LAP_126584724983,Asus,X550LC-XX119H,X550LC-XX119H,asus,"Asus X550LC-XX119H Laptop (Windows 8, 4GB RAM, 750GB HDD, Intel Core i5, Grey, 15.6 inch)",X Series,Intel Core i5 4th Gen 4200U,Nvidia GeForce 720M,True,4.0,1.6,3MB,750GB,4.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.3,380.00 x 251.00 x 31.70,380.0,251.0,31.7,Windows 8,802.11 b/g/n,4.0,1,1 x USB 2.0,1,0,1.0,False,False,Yes,Touchpad,4.0,Dark Grey,Yes,Yes,3 in 1 card Reader,Yes,Standard,10/100/1000 Base T,46000.0,3.33,3.0,33.0,0.0,0.0,33.0,33.0,laptop,LAP_126584724983,"Brand: Asus. Model: X550LC-XX119H. Product: Asus X550LC-XX119H Laptop (Windows 8, 4GB RAM, 750GB HDD, Intel Core i5, Grey, 15.6 inch). Processor: Intel Core i5 4th Gen 4200U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 720M. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.3 kg. Price: ₹46000.0. Rating: 3.33 out of 5.",
LAP_b80675a66704,HP,Pavilion 15-AU020TX,15-AU020TX,hp,"HP Pavilion 15-AU020TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i7, Gold)",Pavilion,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,True,4.0,2.5,4MB,1TB,4.0,HDD,15.6,1920x1080 pixels,1920.0,1080.0,2073600.0,2.0,383.00 x 243.00 x 225.00,383.0,243.0,225.0,Windows 10,802.11 n/ac,4.2,3,"1 x USB 2.0, 2 x USB 3.0",1,2,3.0,False,False,Yes,Touchpad,2.0,Silver,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100 Base T,72500.0,,,0.0,0.0,0.0,0.0,0.0,laptop,LAP_b80675a66704,"Brand: HP. Model: Pavilion 15-AU020TX. Product: HP Pavilion 15-AU020TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i7, Gold). Processor: Intel Core i7 6th Gen 6500U. RAM: 4.0 GB. Storage capacity: 4.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce 940MX. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.0 kg. Price: ₹72500.0.",Yes
LAP_917f8a5f1f3d,Asus,G551VW-FI242T,G551VW-FI242T,asus,"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",G Series,Intel Core i7 6th Gen 6700HQ,Nvidia GeForce GTX 960M,True,16.0,2.6,6MB,1TB,16.0,HDD,15.6,3840x2160 pixels,3840.0,2160.0,8294400.0,2.7,382.00 x 255.00 x 16.00,382.0,255.0,16.0,Windows 10 Home,802.11 ac,4.0,3,3 x USB 3.0,0,3,3.0,False,False,Yes,Touchpad,6.0,Black,Yes,2 Speakers,3 in 1 card Reader,Yes,Standard,10/100/1000 Base T,98500.0,4.5,12.0,0.0,0.0,17.0,17.0,67.0,laptop,LAP_917f8a5f1f3d,"Brand: Asus. Model: G551VW-FI242T. Product: Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch). Processor: Intel Core i7 6th Gen 6700HQ. RAM: 16.0 GB. Storage capacity: 16.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce GTX 960M. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.7 kg. Price: ₹98500.0. Rating: 4.5 out of 5.",
LAP_eb2987ca9d73,HP,Pavilion 15-au620tx,15-au620tx,hp,"HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch)",Pavilion,Intel Core i5 7th Gen 7200U,Nvidia GeForce,True,8.0,2.5,3MB,1TB,8.0,HDD,15.6,1366x768 pixels,1366.0,768.0,1049088.0,2.04,383.00 x 243.00 x 22.50,383.0,243.0,22.5,Windows 10 Home,802.11 ac,4.0,1,1 x USB 2.0,1,0,1.0,False,False,Yes,Touchpad,2.0,Natural Silver,Yes,2 Speakers,3 in 1 card Reader,Yes,Standard,10/100 Base T,56950.0,2.0,4.0,75.0,0.0,0.0,0.0,25.0,laptop,LAP_eb2987ca9d73,"Brand: HP. Model: Pavilion 15-au620tx. Product: HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch). Processor: Intel Core i5 7th Gen 7200U. RAM: 8.0 GB. Storage capacity: 8.0 GB. Storage type: HDD. Graphics processor: Nvidia GeForce. Dedicated graphics: Yes. Screen size: 15.6 inches. Weight: 2.04 kg. Price: ₹56950.0. Rating: 2.0 out of 5.",
