Brand,Model,Company,1 stars,2 stars,4 stars,3 stars,5 stars,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),HDMI Port,Ethernet,Price_Clean,RAM_GB,Screen_Size_inch,Base_Clock_Speed_GHz,Total_Ratings
Micromax,In Note 1,micromax,5,2,15,5,74,0.0,"Green, White",Android 10,Unknown,Unknown,2GHz octa-core,Unknown,Unknown,0.0,1080x2400 pixels,802.11 a/b/g/n/ac,2.1,165.24 x 76.95 x 8.99,,3.0,Unknown,Unknown,0.0,"Micromax In Note 1 (4GB RAM, 64GB) - White",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10999,4.0,,2.16,1037.0
HP,Pavilion 15-ab205tx,hp,9,0,45,0,45,0.0,Natural Silver,Windows 10 Home,1TB,15-ab205tx,Intel Core i5 5th Gen 5200U,AMD Radeon R5 M335,Yes,0.0,1920x1080 pixels,802.11 ac,2.9,384.50 x 261.10 x 25.20,4.0,3.0,Pavilion,Yes,0.0,"HP Pavilion 15-AB205TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Natural Silver)",Unknown,4,Touchpad,"1 x USB 2.0, 2 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100 Base T,49790,4.0,15.6,2.2,11.0
HP,Pavilion 15-AU626TX,hp,21,5,17,12,45,0.0,Silver,Windows 10,2TB,15-AU626TX,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,0.0,1366x768 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4.2,3.0,Pavilion,Yes,0.0,"HP Pavilion 15-AU626TX Laptop (Windows 10, 16GB RAM, 2000GB HDD, Intel Core i5, Natural Silver)",Yes,2,Touchpad,1 x USB 2.0,3MB,Yes,Yes,SD Card Reader,Yes,Standard,10/100 Base T,69980,16.0,15.6,2.5,42.0
Asus,R558UQ-DM539D,asus,14,6,37,6,37,0.0,Glossy Dark Brown,DOS,1TB,R558UQ-DM539D,Intel Core i5 7th Gen 7200U,Nvidia GeForce 940MX,Yes,0.0,1920x1080 pixels,802.11 ac,2.3,382.00 x 256.00 x 25.50,4.0,3.0,R Series,Yes,0.0,"Asus R558UQ-DM539D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Unknown,2,Touchpad,"1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C)",3MB,Yes,Yes,SD Card Reader,Yes,Standard,10/100/1000 Base T,35490,4.0,15.6,2.5,65.0
HP,240 G4,hp,23,9,9,18,41,0.0,Black,DOS,500GB,240 G4,Intel Core i3 5th Gen 5010U,AMD Radeon R5 M330,Yes,0.0,1366x768 pixels,802.11 b/g/n,1.9,345.40 x 2415.00 x 23.90,4.0,3.0,Unknown,Yes,0.0,"HP 240 G4 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch)",Unknown,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Unknown,2 Speakers,3 in 1 card Reader,Yes,Standard,10/100/1000 Base T,27500,4.0,14.0,2.1,22.0
Acer,Aspire E E1-572G,acer,50,0,25,0,25,0.0,Black,Linux,1TB,E1-572G,Intel Core i7 4th Gen 4500U,AMD Radeon 8750M,Yes,0.0,1366x768 pixels,802.11 b/g/n,2.4,381.60 x 256.00 x 25.30,4.0,3.0,Aspire E,Yes,0.0,"Acer Aspire E E1-572G Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",4MB,Yes,Yes,SD Card Reader,Yes,Yes,Gigabit Ethernet,59500,4.0,15.6,1.8,4.0
Dell,Inspiron 3000 3543,dell,29,0,0,29,43,0.0,Black,Windows 10 Home,1TB,3543,Intel Core i5 5th Gen 5200U,Nvidia GeForce 820M,Yes,0.0,1366x768 pixels,802.11 b/g/n,2.5,384.00 x 267.00 x 26.60,4.0,3.0,Inspiron 3000,Yes,1.0,"Dell Inspiron 3000 3543 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Yes,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,SD Card Reader,Yes,Yes,10/100 T,28099,4.0,15.6,2.2,7.0
Asus,X550LC-XX119H,asus,33,0,33,0,33,0.0,Dark Grey,Windows 8,750GB,X550LC-XX119H,Intel Core i5 4th Gen 4200U,Nvidia GeForce 720M,Yes,0.0,1366x768 pixels,802.11 b/g/n,2.3,380.00 x 251.00 x 31.70,4.0,1.0,X Series,Yes,0.0,"Asus X550LC-XX119H Laptop (Windows 8, 4GB RAM, 750GB HDD, Intel Core i5, Grey, 15.6 inch)",Unknown,4,Touchpad,1 x USB 2.0,3MB,Yes,Yes,3 in 1 card Reader,Yes,Standard,10/100/1000 Base T,46000,4.0,15.6,1.6,3.0
HP,Pavilion 15-AU020TX,hp,0,0,0,0,0,0.0,Silver,Windows 10,1TB,15-AU020TX,Intel Core i7 6th Gen 6500U,Nvidia GeForce 940MX,Yes,0.0,1920x1080 pixels,802.11 n/ac,2.0,383.00 x 243.00 x 225.00,4.2,3.0,Pavilion,Yes,0.0,"HP Pavilion 15-AU020TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i7, Gold)",Yes,2,Touchpad,"1 x USB 2.0, 2 x USB 3.0",4MB,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100 Base T,72500,4.0,15.6,2.5,
Asus,G551VW-FI242T,asus,0,0,17,17,67,0.0,Black,Windows 10 Home,1TB,G551VW-FI242T,Intel Core i7 6th Gen 6700HQ,Nvidia GeForce GTX 960M,Yes,0.0,3840x2160 pixels,802.11 ac,2.7,382.00 x 255.00 x 16.00,4.0,3.0,G Series,Yes,0.0,"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Unknown,6,Touchpad,3 x USB 3.0,6MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Standard,10/100/1000 Base T,98500,16.0,15.6,2.6,12.0
HP,Pavilion 15-au620tx,hp,75,0,0,0,25,0.0,Natural Silver,Windows 10 Home,1TB,15-au620tx,Intel Core i5 7th Gen 7200U,Nvidia GeForce,Yes,0.0,1366x768 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4.0,1.0,Pavilion,Yes,0.0,"HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch)",Unknown,2,Touchpad,1 x USB 2.0,3MB,Yes,2 Speakers,3 in 1 card Reader,Yes,Standard,10/100 Base T,56950,8.0,15.6,2.5,4.0
HP,Pavilion 15-au628tx,hp,44,11,0,0,44,0.0,Natural Silver,Windows 10 Home,1TB,15-au628tx,Intel Core i7 7th Gen 7500U,Nvidia GeForce 940MX,Yes,0.0,1920x1080 pixels,802.11 ac,2.04,383.00 x 243.00 x 22.50,4.2,1.0,Pavilion,Yes,0.0,"HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch)",Unknown,2,Touchpad,1 x USB 2.0,4MB,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100/1000 Base T,80250,8.0,15.6,2.7,9.0
HP,15-ay006tx,hp,0,0,33,0,67,0.0,Silver,DOS,500GB,15-ay006tx,Intel Core i3 5th Gen 5005U,AMD Radeon R5 M430,Yes,0.0,1366x768 pixels,802.11 b/g/n,2.19,384.30 x 254.60 x 24.30,4.0,3.0,Unknown,Yes,0.0,"HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",Unknown,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",3MB,Yes,2 Speakers,Multi format card reader,Yes,Standard,10/100 Base T,35799,4.0,15.6,2.0,3.0
Lenovo,G50 45,lenovo,18,8,22,13,39,0.0,Silver,Windows 8.1,1TB,G50 45,AMD APU Quad Core A8 6th Gen A8 6410,AMD R5 M230,Yes,0.0,1366x768 pixels,802.11 b/g/n/ac,2.5,384.00 x 265.00 x 25.00,4.0,3.0,G Series,Yes,0.0,"Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch)",Unknown,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,Yes,2 in 1 Card Reader,Yes,Yes,10/100/1000 Base T,17990,8.0,15.6,2.0,277.0
HP,Pavilion 15-ba021ax,hp,24,6,22,11,37,0.0,Silver,DOS,1TB,15-ba021ax,AMD APU Quad Core A10 7th Gen A10 9600P,Intel Integrated Graphics / Nvidia GeForce 940MX,No,0.0,1366x768 pixels,802.11 ac,2.19,384.30 x 254.60 x 24.30,4.1,3.0,Pavilion,Yes,0.0,"HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch)",Unknown,4,Touchpad,"2 x USB 2.0, 1 x USB 3.0",2MB,Yes,2 Speakers,Multi format card reader,Yes,Standard,Unknown,32490,4.0,15.6,2.4,79.0
