row_index,url,field,original_value,name_value,action
3,https://gadgets.ndtv.com/lenovo-tab-2-a8-lte-2449,Internal storage,8GB,16.0,corrected_from_product_name
6,https://gadgets.ndtv.com/karbonn-ta-fone-a34-1439,Internal storage,4GB,2.0,corrected_from_product_name
31,https://gadgets.ndtv.com/swipe-ace-2900,Internal storage,8GB,16.0,corrected_from_product_name
36,https://gadgets.ndtv.com/micromax-canvas-laptab-2610,RAM,2GB,1.0,corrected_from_product_name
36,https://gadgets.ndtv.com/micromax-canvas-laptab-2610,Internal storage,32GB,8.0,corrected_from_product_name
37,https://gadgets.ndtv.com/swipe-ace-2900,Internal storage,8GB,16.0,corrected_from_product_name
42,https://gadgets.ndtv.com/lenovo-tab-7-essential-4520,Internal storage,16GB,8.0,corrected_from_product_name
43,https://gadgets.ndtv.com/lenovo-ideatab-a3000-1473,Internal storage,4GB,16.0,corrected_from_product_name
56,https://gadgets.ndtv.com/micromax-canvas-tab-p701-3535,Internal storage,8GB,16.0,corrected_from_product_name
58,https://gadgets.ndtv.com/micromax-canvas-tab-p701-3535,Internal storage,8GB,16.0,corrected_from_product_name
77,https://gadgets.ndtv.com/alcatel-pop-4-10-inch-3760,Internal storage,16GB,8.0,corrected_from_product_name
84,https://gadgets.ndtv.com/lenovo-yoga-tab-3-pro-2923,Internal storage,32GB,64.0,corrected_from_product_name
86,https://gadgets.ndtv.com/samsung-galaxy-tab-a-10-1-2016-with-s-pen-3775,Internal storage,32GB,16.0,corrected_from_product_name
91,https://gadgets.ndtv.com/samsung-galaxy-tab-a-10-1-2016-with-s-pen-3775,Internal storage,32GB,16.0,corrected_from_product_name
99,https://gadgets.ndtv.com/lenovo-yoga-tab-3-pro-2923,Internal storage,32GB,64.0,corrected_from_product_name
103,https://gadgets.ndtv.com/aoc-d70v50g-2486,Internal storage,4GB,8.0,corrected_from_product_name
104,https://gadgets.ndtv.com/asus-zenpad-7-0-z370cg-2680,Internal storage,8GB,16.0,corrected_from_product_name
108,https://gadgets.ndtv.com/iball-slide-3g-q45i-3255,Internal storage,8GB,16.0,corrected_from_product_name
140,https://gadgets.ndtv.com/samsung-galaxy-tab4-7-0-3g-1444,Internal storage,16GB,8.0,corrected_from_product_name
142,https://gadgets.ndtv.com/samsung-galaxy-tab4-7-0-3g-1444,Internal storage,16GB,8.0,corrected_from_product_name
149,https://gadgets.ndtv.com/apple-ipad-air-2-wi-fi-cellular-2065,Internal storage,16GB,128.0,corrected_from_product_name
152,https://gadgets.ndtv.com/apple-ipad-air-wi-fi-cellular-1418,Internal storage,16GB,32.0,corrected_from_product_name
160,https://gadgets.ndtv.com/apple-ipad-air-wi-fi-cellular-1418,Internal storage,16GB,32.0,corrected_from_product_name
161,https://gadgets.ndtv.com/apple-ipad-air-wi-fi-cellular-1418,Internal storage,16GB,64.0,corrected_from_product_name
162,https://gadgets.ndtv.com/apple-ipad-air-wi-fi-cellular-1418,Internal storage,16GB,64.0,corrected_from_product_name
163,https://gadgets.ndtv.com/apple-ipad-air-wi-fi-cellular-1418,Internal storage,16GB,64.0,corrected_from_product_name
164,https://gadgets.ndtv.com/apple-ipad-air-2-wi-fi-cellular-2065,Internal storage,16GB,64.0,corrected_from_product_name
165,https://gadgets.ndtv.com/apple-ipad-air-wi-fi-cellular-1418,Internal storage,16GB,256.0,corrected_from_product_name
166,https://gadgets.ndtv.com/apple-ipad-air-wi-fi-cellular-1418,Internal storage,16GB,256.0,corrected_from_product_name
167,https://gadgets.ndtv.com/apple-ipad-air-2-wi-fi-cellular-2065,Internal storage,16GB,64.0,corrected_from_product_name
168,https://gadgets.ndtv.com/apple-ipad-air-wi-fi-cellular-1418,Internal storage,16GB,256.0,corrected_from_product_name
170,https://gadgets.ndtv.com/apple-ipad-air-2-wi-fi-cellular-2065,Internal storage,16GB,32.0,corrected_from_product_name
171,https://gadgets.ndtv.com/apple-ipad-air-2-wi-fi-cellular-2065,Internal storage,16GB,128.0,corrected_from_product_name
173,https://gadgets.ndtv.com/apple-ipad-air-2-wi-fi-cellular-2065,Internal storage,16GB,128.0,corrected_from_product_name
174,https://gadgets.ndtv.com/apple-ipad-air-2-wi-fi-cellular-2065,Internal storage,16GB,64.0,corrected_from_product_name
184,https://gadgets.ndtv.com/apple-ipad-mini-3-wi-fi-cellular-2067,Internal storage,16GB,64.0,corrected_from_product_name
186,https://gadgets.ndtv.com/apple-ipad-mini-3-wi-fi-cellular-2067,Internal storage,16GB,128.0,corrected_from_product_name
187,https://gadgets.ndtv.com/apple-ipad-mini-3-wi-fi-cellular-2067,Internal storage,16GB,64.0,corrected_from_product_name
189,https://gadgets.ndtv.com/huawei-mediapad-t3-4118,Internal storage,16GB,32.0,corrected_from_product_name
192,https://gadgets.ndtv.com/apple-ipad-mini-3-wi-fi-cellular-2067,Internal storage,16GB,128.0,corrected_from_product_name
193,https://gadgets.ndtv.com/asus-google-nexus-7-3g-1479,Internal storage,16GB,32.0,corrected_from_product_name
200,https://gadgets.ndtv.com/apple-ipad-3rd-generation-wi-fi-cellular-1414,Internal storage,16GB,64.0,corrected_from_product_name
201,https://gadgets.ndtv.com/apple-ipad-4th-generation-wi-fi-cellular-1416,Internal storage,16GB,64.0,corrected_from_product_name
222,https://gadgets.ndtv.com/apple-ipad-4th-generation-wi-fi-cellular-1416,Internal storage,16GB,32.0,corrected_from_product_name
225,https://gadgets.ndtv.com/apple-ipad-4th-generation-wi-fi-cellular-1416,Internal storage,16GB,64.0,corrected_from_product_name
227,https://gadgets.ndtv.com/samsung-galaxy-tab3-311-1405,Internal storage,32GB,16.0,corrected_from_product_name
255,https://gadgets.ndtv.com/apple-ipad-mini-with-retina-display-wi-fi-cellular-1422,Internal storage,16GB,256.0,corrected_from_product_name
256,https://gadgets.ndtv.com/apple-ipad-mini-with-retina-display-wi-fi-cellular-1422,Internal storage,16GB,128.0,corrected_from_product_name
257,https://gadgets.ndtv.com/apple-ipad-mini-with-retina-display-wi-fi-cellular-1422,Internal storage,16GB,256.0,corrected_from_product_name
259,https://gadgets.ndtv.com/apple-ipad-mini-with-retina-display-wi-fi-cellular-1422,Internal storage,16GB,64.0,corrected_from_product_name
261,https://gadgets.ndtv.com/apple-ipad-mini-with-retina-display-wi-fi-cellular-1422,Internal storage,16GB,64.0,corrected_from_product_name
262,https://gadgets.ndtv.com/apple-ipad-mini-with-retina-display-wi-fi-cellular-1422,Internal storage,16GB,32.0,corrected_from_product_name
263,https://gadgets.ndtv.com/apple-ipad-mini-with-retina-display-wi-fi-cellular-1422,Internal storage,16GB,64.0,corrected_from_product_name
294,https://gadgets.ndtv.com/iball-slide-3g-q45-2617,Internal storage,8GB,16.0,corrected_from_product_name
302,https://gadgets.ndtv.com/acer-iconia-one-7-1574,Internal storage,8GB,16.0,corrected_from_product_name
319,https://gadgets.ndtv.com/hp-elitepad-1000-g2-rugged-tablet-2553,Internal storage,128GB,64.0,corrected_from_product_name
331,https://gadgets.ndtv.com/lenovo-tab-2-a8-2448,Internal storage,8GB,16.0,corrected_from_product_name
338,https://gadgets.ndtv.com/asus-transformer-pad-tf103c-1662,Internal storage,16GB,8.0,corrected_from_product_name
342,https://gadgets.ndtv.com/lenovo-tab-4-8-plus-4039,Internal storage,64GB,16.0,corrected_from_product_name
361,https://gadgets.ndtv.com/htc-google-nexus-9-2061,Internal storage,16GB,32.0,corrected_from_product_name
362,https://gadgets.ndtv.com/lenovo-tab-4-10-plus-4040,Internal storage,64GB,16.0,corrected_from_product_name
363,https://gadgets.ndtv.com/microsoft-surface-pro-2-1501,Internal storage,64GB,512.0,corrected_from_product_name
379,https://gadgets.ndtv.com/lenovo-tab-2-a7-30-2281,Internal storage,16GB,8.0,corrected_from_product_name
383,https://gadgets.ndtv.com/lenovo-tab-2-a7-30-2281,Internal storage,16GB,8.0,corrected_from_product_name
396,https://gadgets.ndtv.com/microsoft-surface-pro-4175,Internal storage,256GB,128.0,corrected_from_product_name
403,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,256.0,corrected_from_product_name
404,https://gadgets.ndtv.com/hp-pro-tablet-10-ee-2339,Internal storage,32GB,16.0,corrected_from_product_name
405,https://gadgets.ndtv.com/apple-ipad-mini-4-wi-fi-cellular-2957,Internal storage,16GB,32.0,corrected_from_product_name
406,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,128.0,corrected_from_product_name
408,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,64.0,corrected_from_product_name
410,https://gadgets.ndtv.com/huawei-mediapad-t3-7-4119,Internal storage,8GB,16.0,corrected_from_product_name
422,https://gadgets.ndtv.com/apple-ipad-mini-4-wi-fi-cellular-2957,Internal storage,16GB,128.0,corrected_from_product_name
426,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,64.0,corrected_from_product_name
427,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,128.0,corrected_from_product_name
428,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,256.0,corrected_from_product_name
430,https://gadgets.ndtv.com/apple-ipad-pro-12-9-inch-2018-wi-fi-cellular-5717,Internal storage,64GB,1000.0,corrected_from_product_name
432,https://gadgets.ndtv.com/apple-ipad-pro-12-9-inch-2018-wi-fi-cellular-5717,Internal storage,64GB,1000.0,corrected_from_product_name
433,https://gadgets.ndtv.com/apple-ipad-pro-12-9-inch-2018-wi-fi-cellular-5717,Internal storage,64GB,1000.0,corrected_from_product_name
434,https://gadgets.ndtv.com/apple-ipad-pro-12-9-inch-2018-wi-fi-cellular-5717,Internal storage,64GB,1000.0,corrected_from_product_name
435,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,256.0,corrected_from_product_name
437,https://gadgets.ndtv.com/apple-ipad-mini-4-wi-fi-cellular-2957,Internal storage,16GB,32.0,corrected_from_product_name
440,https://gadgets.ndtv.com/apple-ipad-mini-4-wi-fi-cellular-2957,Internal storage,16GB,32.0,corrected_from_product_name
442,https://gadgets.ndtv.com/apple-ipad-mini-4-wi-fi-cellular-2957,Internal storage,16GB,128.0,corrected_from_product_name
445,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,512.0,corrected_from_product_name
446,https://gadgets.ndtv.com/apple-ipad-pro-wi-fi-cellular-2954,Internal storage,32GB,512.0,corrected_from_product_name
480,https://gadgets.ndtv.com/micromax-funbook-p255-1433,Internal storage,1.15GB,1.0,corrected_from_product_name
486,https://gadgets.ndtv.com/samsung-galaxy-tab3-210-1402,Internal storage,8GB,16.0,corrected_from_product_name
487,https://gadgets.ndtv.com/micromax-funbook-p255-1433,Internal storage,1.15GB,1.0,corrected_from_product_name
498,https://gadgets.ndtv.com/samsung-galaxy-tab3-310-1404,Internal storage,32GB,16.0,corrected_from_product_name
560,https://gadgets.ndtv.com/apple-ipad-10-2-inch-wi-fi-plus-cellular-price-in-india-91114,Internal storage,32GB,128.0,corrected_from_product_name
561,https://gadgets.ndtv.com/apple-ipad-10-2-inch-wi-fi-plus-cellular-price-in-india-91114,Internal storage,32GB,128.0,corrected_from_product_name
580,https://gadgets.ndtv.com/apple-ipad-10-2-inch-wi-fi-plus-cellular-price-in-india-91114,Internal storage,32GB,128.0,corrected_from_product_name
592,https://gadgets.ndtv.com/apple-ipad-pro-11-inch-2018-wi-fi-cellular-5719,Internal storage,64GB,256.0,corrected_from_product_name
608,https://gadgets.ndtv.com/apple-ipad-pro-11-inch-2018-wi-fi-cellular-5719,Internal storage,64GB,256.0,corrected_from_product_name
612,https://gadgets.ndtv.com/lenovo-yoga-tablet-2-windows-10-inch-2050,Internal storage,16GB,32.0,corrected_from_product_name
650,https://gadgets.ndtv.com/lenovo-yoga-a12-3987,Internal storage,32GB,64.0,corrected_from_product_name
652,https://gadgets.ndtv.com/microsoft-surface-go-5541,Internal storage,128GB,64.0,corrected_from_product_name
661,https://gadgets.ndtv.com/microsoft-surface-pro-x-price-in-india-91186,Internal storage,128GB,256.0,corrected_from_product_name
697,https://gadgets.ndtv.com/honor-pad-5-8-inch-price-in-india-13123,Internal storage,32GB,64.0,corrected_from_product_name
733,https://gadgets.ndtv.com/apple-ipad-pro-11-inch-2018-wi-fi-5718,Internal storage,64GB,1024.0,corrected_from_product_name
734,https://gadgets.ndtv.com/apple-ipad-pro-11-inch-2018-wi-fi-5718,Internal storage,64GB,256.0,corrected_from_product_name
735,https://gadgets.ndtv.com/apple-ipad-pro-11-inch-2018-wi-fi-5718,Internal storage,64GB,256.0,corrected_from_product_name
751,https://gadgets.ndtv.com/alcatel-a3-10-wi-fi-4613,Internal storage,32GB,16.0,corrected_from_product_name
756,https://gadgets.ndtv.com/honor-pad-5-10-1-inch-price-in-india-13124,Internal storage,32GB,64.0,corrected_from_product_name
757,https://gadgets.ndtv.com/alcatel-a3-10-wi-fi-4613,Internal storage,32GB,16.0,corrected_from_product_name
759,https://gadgets.ndtv.com/huawei-mediapad-t5-price-in-india-13170,Internal storage,16GB,32.0,corrected_from_product_name
773,https://gadgets.ndtv.com/apple-ipad-10-2-inch-wi-fi-price-in-india-91113,Internal storage,32GB,128.0,corrected_from_product_name
777,https://gadgets.ndtv.com/apple-ipad-10-2-inch-wi-fi-price-in-india-91113,Internal storage,32GB,128.0,corrected_from_product_name
778,https://gadgets.ndtv.com/apple-ipad-10-2-inch-wi-fi-price-in-india-91113,Internal storage,32GB,128.0,corrected_from_product_name
784,https://gadgets.ndtv.com/apple-ipad-mini-2019-wi-fi-cellular-12964,Internal storage,64GB,256.0,corrected_from_product_name
785,https://gadgets.ndtv.com/apple-ipad-mini-2019-wi-fi-cellular-12964,Internal storage,64GB,256.0,corrected_from_product_name
787,https://gadgets.ndtv.com/apple-ipad-mini-2019-wi-fi-cellular-12964,Internal storage,64GB,256.0,corrected_from_product_name
792,https://gadgets.ndtv.com/microsoft-surface-pro-6-5669,Internal storage,128GB,256.0,corrected_from_product_name
795,https://gadgets.ndtv.com/apple-ipad-air-2020-wi-fi-price-in-india-97135,Internal storage,64GB,256.0,corrected_from_product_name
802,https://gadgets.ndtv.com/google-pixel-slate-5682,Internal storage,32GB,64.0,corrected_from_product_name
803,https://gadgets.ndtv.com/google-pixel-slate-5682,Internal storage,32GB,128.0,corrected_from_product_name
804,https://gadgets.ndtv.com/huawei-matepad-t8-price-in-india-92637,Internal storage,16GB,32.0,corrected_from_product_name
809,https://gadgets.ndtv.com/huawei-matepad-t8-price-in-india-92637,Internal storage,16GB,32.0,corrected_from_product_name
819,https://gadgets.ndtv.com/huawei-mediapad-m5-4638,Internal storage,32GB,64.0,corrected_from_product_name
826,https://gadgets.ndtv.com/lenovo-m10-5613,Internal storage,32GB,16.0,corrected_from_product_name
831,https://gadgets.ndtv.com/lenovo-p10-5614,Internal storage,64GB,32.0,corrected_from_product_name
